[CryoJet 1]
	Time [s]	Temp T[k]	TSet	Shield flow	Sample flow	Heater pow[R5]	Heater pow[R6]	Run	Frame
Wed Apr 26 07:33:34 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 4	 6
Wed Apr 26 07:33:45 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 4	 8
Wed Apr 26 07:33:56 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 4	 10
Wed Apr 26 07:34:06 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 4	 12
Wed Apr 26 07:34:17 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 4	 15
Wed Apr 26 07:34:28 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 4	 17
Wed Apr 26 07:34:38 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 4	 19
Wed Apr 26 07:34:49 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 4	 21
Wed Apr 26 07:34:59 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 4	 23
Wed Apr 26 07:35:10 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 4	 25
Wed Apr 26 07:35:21 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 4	 27
Wed Apr 26 07:35:31 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 4	 27
Wed Apr 26 07:35:42 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 4	 27
Wed Apr 26 07:35:52 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 4	 27
Wed Apr 26 07:36:03 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 4	 27
Wed Apr 26 07:36:14 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 4	 28
Wed Apr 26 07:36:24 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 4	 30
Wed Apr 26 07:36:35 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 4	 32
Wed Apr 26 07:36:46 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 4	 34
Wed Apr 26 07:36:56 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 4	 37
Wed Apr 26 07:37:07 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 4	 39
Wed Apr 26 07:37:17 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 4	 41
Wed Apr 26 07:37:28 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 4	 41
Wed Apr 26 07:37:39 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 5	 2
Wed Apr 26 07:37:49 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 5	 4
Wed Apr 26 07:38:00 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 5	 6
Wed Apr 26 07:38:11 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 5	 8
Wed Apr 26 07:38:21 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 5	 11
Wed Apr 26 07:38:32 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 5	 13
Wed Apr 26 07:38:42 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 5	 15
Wed Apr 26 07:38:53 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 17
Wed Apr 26 07:39:04 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 19
Wed Apr 26 07:39:14 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 5	 21
Wed Apr 26 07:39:25 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 5	 23
Wed Apr 26 07:39:36 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 5	 25
Wed Apr 26 07:39:46 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 28
Wed Apr 26 07:39:57 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 30
Wed Apr 26 07:40:07 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 32
Wed Apr 26 07:40:18 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 34
Wed Apr 26 07:40:29 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 5	 36
Wed Apr 26 07:40:39 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 5	 36
Wed Apr 26 07:40:50 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 5	 36
Wed Apr 26 07:41:01 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 36
Wed Apr 26 07:41:11 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 5	 36
Wed Apr 26 07:41:22 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 5	 37
Wed Apr 26 07:41:32 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 5	 39
Wed Apr 26 07:41:43 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 5	 41
Wed Apr 26 07:41:54 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 5	 44
Wed Apr 26 07:42:04 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 5	 46
Wed Apr 26 07:42:15 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 5	 48
Wed Apr 26 07:42:26 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 5	 50
Wed Apr 26 07:42:36 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 5	 52
Wed Apr 26 07:42:47 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 5	 54
Wed Apr 26 07:42:57 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 5	 56
Wed Apr 26 07:43:08 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 5	 59
Wed Apr 26 07:43:19 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 5	 61
Wed Apr 26 07:43:29 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 5	 63
Wed Apr 26 07:43:40 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 5	 65
Wed Apr 26 07:43:51 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 5	 67
Wed Apr 26 07:44:01 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 5	 69
Wed Apr 26 07:44:12 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 71
Wed Apr 26 07:44:22 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 73
Wed Apr 26 07:44:33 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 76
Wed Apr 26 07:44:44 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 5	 78
Wed Apr 26 07:44:54 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 5	 80
Wed Apr 26 07:45:05 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 5	 82
Wed Apr 26 07:45:16 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 84
Wed Apr 26 07:45:26 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 5	 86
Wed Apr 26 07:45:37 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 86
Wed Apr 26 07:45:47 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 86
Wed Apr 26 07:45:58 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 86
Wed Apr 26 07:46:09 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 5	 86
Wed Apr 26 07:46:19 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 5	 86
Wed Apr 26 07:46:30 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 86
Wed Apr 26 07:46:41 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 88
Wed Apr 26 07:46:51 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 5	 91
Wed Apr 26 07:47:02 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 93
Wed Apr 26 07:47:12 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 95
Wed Apr 26 07:47:23 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 97
Wed Apr 26 07:47:34 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 5	 99
Wed Apr 26 07:47:44 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 5	 101
Wed Apr 26 07:47:55 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 5	 101
Wed Apr 26 07:48:06 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 5	 101
Wed Apr 26 07:48:16 2017	 173.00	 173.00	   3.00	   3.00	  22.20	  10.60	 6	 2
Wed Apr 26 07:48:27 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 6	 4
Wed Apr 26 07:48:38 2017	 173.00	 173.00	   3.00	   3.00	  22.20	  10.60	 6	 6
Wed Apr 26 07:48:48 2017	 173.00	 173.00	   3.00	   3.00	  22.20	  10.60	 6	 8
Wed Apr 26 07:48:59 2017	 173.00	 173.00	   3.00	   3.00	  22.20	  10.60	 6	 10
Wed Apr 26 07:49:09 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 6	 12
Wed Apr 26 07:49:20 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 6	 14
Wed Apr 26 07:49:31 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 6	 17
Wed Apr 26 07:49:41 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 6	 19
Wed Apr 26 07:49:52 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 6	 21
Wed Apr 26 07:50:03 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 6	 23
Wed Apr 26 07:50:13 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 6	 25
Wed Apr 26 07:50:24 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 6	 27
Wed Apr 26 07:50:34 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 6	 29
Wed Apr 26 07:50:45 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 6	 31
Wed Apr 26 07:50:56 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 6	 34
Wed Apr 26 07:51:06 2017	 173.00	 173.00	   3.00	   3.00	  21.40	  10.30	 6	 35
Wed Apr 26 07:51:17 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.30	 6	 35
Wed Apr 26 07:51:28 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 6	 35
Wed Apr 26 07:51:38 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 6	 35
Wed Apr 26 07:51:49 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 6	 35
Wed Apr 26 07:51:59 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 6	 37
Wed Apr 26 07:52:10 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 6	 39
Wed Apr 26 07:52:21 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 6	 41
Wed Apr 26 07:52:31 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 6	 43
Wed Apr 26 07:52:42 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 6	 45
Wed Apr 26 07:52:53 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 6	 47
Wed Apr 26 07:53:03 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 6	 50
Wed Apr 26 07:53:14 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 6	 52
Wed Apr 26 07:53:24 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 6	 54
Wed Apr 26 07:53:35 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 6	 56
Wed Apr 26 07:53:46 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 6	 58
Wed Apr 26 07:53:56 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 6	 60
Wed Apr 26 07:54:07 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 6	 62
Wed Apr 26 07:54:18 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 6	 65
Wed Apr 26 07:54:28 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 6	 67
Wed Apr 26 07:54:39 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 6	 69
Wed Apr 26 07:54:49 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 6	 71
Wed Apr 26 07:55:00 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 6	 73
Wed Apr 26 07:55:11 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 6	 73
Wed Apr 26 07:55:21 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 6	 73
Wed Apr 26 07:55:32 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 6	 73
