[PowderGraph 1]
2thetadeg	d-value	intx	sigx	count
   2.00074     44.11969    0.00000    0.00000          0
   2.01074     43.90032    0.00000    0.00000          0
   2.02074     43.68313    0.00000    0.00000          0
   2.03074     43.46807    0.00000    0.00000          0
   2.04074     43.25511    0.00000    0.00000          0
   2.05074     43.04424    0.00000    0.00000          0
   2.06074     42.83541    0.00000    0.00000          0
   2.07073     42.62860    0.00000    0.00000          0
   2.08073     42.42377    0.00000    0.00000          0
   2.09073     42.22091    0.00000    0.00000          0
   2.10073     42.01998    0.00000    0.00000          0
   2.11073     41.82095    0.00000    0.00000          0
   2.12073     41.62379    0.00000    0.00000          0
   2.13073     41.42849    0.00000    0.00000          0
   2.14073     41.23501    0.00000    0.00000          0
   2.15072     41.04333    0.00000    0.00000          0
   2.16072     40.85343    0.00000    0.00000          0
   2.17072     40.66527    0.00000    0.00000          0
   2.18072     40.47884    0.00000    0.00000          0
   2.19072     40.29411    0.00000    0.00000          0
   2.20072     40.11106    0.00000    0.00000          0
   2.21072     39.92967    0.00000    0.00000          0
   2.22072     39.74991    0.00000    0.00000          0
   2.23071     39.57176    0.00000    0.00000          0
   2.24071     39.39520    0.00000    0.00000          0
   2.25071     39.22021    0.00000    0.00000          0
   2.26071     39.04677    0.00000    0.00000          0
   2.27071     38.87486    0.00000    0.00000          0
   2.28071     38.70445    0.00000    0.00000          0
   2.29071     38.53553    0.00000    0.00000          0
   2.30070     38.36808    0.00000    0.00000          0
   2.31070     38.20208    0.00000    0.00000          0
   2.32070     38.03751    0.00000    0.00000          0
   2.33070     37.87435    0.00000    0.00000          0
   2.34070     37.71259    0.00000    0.00000          0
   2.35070     37.55220    0.00000    0.00000          0
   2.36070     37.39317    0.00000    0.00000          0
   2.37070     37.23548    0.00000    0.00000          0
   2.38069     37.07912    0.00000    0.00000          0
   2.39069     36.92406    0.00000    0.00000          0
   2.40069     36.77030    0.00000    0.00000          0
   2.41069     36.61781    0.00000    0.00000          0
   2.42069     36.46658    0.00000    0.00000          0
   2.43069     36.31660    0.00000    0.00000          0
   2.44069     36.16784    0.00000    0.00000          0
   2.45069     36.02030    0.00000    0.00000          0
   2.46068     35.87396    0.00000    0.00000          0
   2.47068     35.72880    0.00000    0.00000          0
   2.48068     35.58481    0.00000    0.00000          0
   2.49068     35.44198    0.00000    0.00000          0
   2.50068     35.30029    0.00000    0.00000          0
   2.51068     35.15973    0.00000    0.00000          0
   2.52068     35.02029    0.00000    0.00000          0
   2.53068     34.88194    0.00000    0.00000          0
   2.54067     34.74469    0.00000    0.00000          0
   2.55067     34.60851    0.00000    0.00000          0
   2.56067     34.47340    0.00000    0.00000          0
   2.57067     34.33933    0.00000    0.00000          0
   2.58067     34.20631    0.00000    0.00000          0
   2.59067     34.07431    0.00000    0.00000          0
   2.60067     33.94333    0.00000    0.00000          0
   2.61067     33.81335    0.00000    0.00000          0
   2.62066     33.68436    0.00000    0.00000          0
   2.63066     33.55636    0.00000    0.00000          0
   2.64066     33.42932    0.00000    0.00000          0
   2.65066     33.30324    0.00000    0.00000          0
   2.66066     33.17811    0.00000    0.00000          0
   2.67066     33.05392    0.00000    0.00000          0
   2.68066     32.93065    0.00000    0.00000          0
   2.69065     32.80830    0.00000    0.00000          0
   2.70065     32.68686    0.00000    0.00000          0
   2.71065     32.56631    0.00000    0.00000          0
   2.72065     32.44664    0.00000    0.00000          0
   2.73065     32.32786    0.00000    0.00000          0
   2.74065     32.20994    0.00000    0.00000          0
   2.75065     32.09288    0.00000    0.00000          0
   2.76065     31.97666    0.00000    0.00000          0
   2.77064     31.86129    0.00000    0.00000          0
   2.78064     31.74674    0.00000    0.00000          0
   2.79064     31.63302    0.00000    0.00000          0
   2.80064     31.52010    0.00000    0.00000          0
   2.81064     31.40800    0.00000    0.00000          0
   2.82064     31.29668    0.00000    0.00000          0
   2.83064     31.18615    0.00000    0.00000          0
   2.84064     31.07640    0.00000    0.00000          0
   2.85063     30.96743    0.00000    0.00000          0
   2.86063     30.85921    0.00000    0.00000          0
   2.87063     30.75174    0.00000    0.00000          0
   2.88063     30.64503    0.00000    0.00000          0
   2.89063     30.53905    0.00000    0.00000          0
   2.90063     30.43380    0.00000    0.00000          0
   2.91063     30.32927    0.00000    0.00000          0
   2.92063     30.22546    0.00000    0.00000          0
   2.93062     30.12236    0.00000    0.00000          0
   2.94062     30.01996    0.00000    0.00000          0
   2.95062     29.91826    0.00000    0.00000          0
   2.96062     29.81724    0.00000    0.00000          0
   2.97062     29.71690    0.00000    0.00000          0
   2.98062     29.61724    0.00000    0.00000          0
   2.99062     29.51824    0.00000    0.00000          0
   3.00062     29.41990    0.00000    0.00000          0
   3.01061     29.32221    0.00000    0.00000          0
   3.02061     29.22517    0.00000    0.00000          0
   3.03061     29.12877    0.00000    0.00000          0
   3.04061     29.03301    0.00000    0.00000          0
   3.05061     28.93787    0.00000    0.00000          0
   3.06061     28.84336    0.00000    0.00000          0
   3.07061     28.74946    0.00000    0.00000          0
   3.08060     28.65617    0.00000    0.00000          0
   3.09060     28.56348    0.00000    0.00000          0
   3.10060     28.47140    0.00000    0.00000          0
   3.11060     28.37990    0.00000    0.00000          0
   3.12060     28.28899    0.00000    0.00000          0
   3.13060     28.19866    0.00000    0.00000          0
   3.14060     28.10891    0.00000    0.00000          0
   3.15060     28.01972    0.00000    0.00000          0
   3.16059     27.93110    0.00000    0.00000          0
   3.17059     27.84304    0.00000    0.00000          0
   3.18059     27.75554    0.00000    0.00000          0
   3.19059     27.66858    0.00000    0.00000          0
   3.20059     27.58216    0.00000    0.00000          0
   3.21059     27.49629    0.00000    0.00000          0
   3.22059     27.41094    0.00000    0.00000          0
   3.23059     27.32613    0.00000    0.00000          0
   3.24058     27.24184    0.00000    0.00000          0
   3.25058     27.15806    0.00000    0.00000          0
   3.26058     27.07480    0.00000    0.00000          0
   3.27058     26.99205    0.00000    0.00000          0
   3.28058     26.90981    0.00000    0.00000          0
   3.29058     26.82806    0.00000    0.00000          0
   3.30058     26.74681    0.00000    0.00000          0
   3.31058     26.66605    0.00000    0.00000          0
   3.32057     26.58578    0.00000    0.00000          0
   3.33057     26.50599    0.00000    0.00000          0
   3.34057     26.42668    0.00000    0.00000          0
   3.35057     26.34784    0.00000    0.00000          0
   3.36057     26.26947    0.00000    0.00000          0
   3.37057     26.19156    0.00000    0.00000          0
   3.38057     26.11412    0.00000    0.00000          0
   3.39057     26.03713    0.00000    0.00000          0
   3.40056     25.96059    0.00000    0.00000          0
   3.41056     25.88451    0.00000    0.00000          0
   3.42056     25.80887    0.00000    0.00000          0
   3.43056     25.73367    0.00000    0.00000          0
   3.44056     25.65890    0.00000    0.00000          0
   3.45056     25.58457    0.00000    0.00000          0
   3.46056     25.51067    0.00000    0.00000          0
   3.47055     25.43720    0.00000    0.00000          0
   3.48055     25.36415    0.00000    0.00000          0
   3.49055     25.29151    0.00000    0.00000          0
   3.50055     25.21930    0.00000    0.00000          0
   3.51055     25.14749    0.00000    0.00000          0
   3.52055     25.07609    0.00000    0.00000          0
   3.53055     25.00510    0.00000    0.00000          0
   3.54055     24.93450    0.00000    0.00000          0
   3.55054     24.86431    0.00000    0.00000          0
   3.56054     24.79450    0.00000    0.00000          0
   3.57054     24.72509    0.00000    0.00000          0
   3.58054     24.65607    0.00000    0.00000          0
   3.59054     24.58743    0.00000    0.00000          0
   3.60054     24.51918    0.00000    0.00000          0
   3.61054     24.45130    0.00000    0.00000          0
   3.62054     24.38379    0.00000    0.00000          0
   3.63053     24.31666    0.00000    0.00000          0
   3.64053     24.24990    0.00000    0.00000          0
   3.65053     24.18350    0.00000    0.00000          0
   3.66053     24.11747    0.00000    0.00000          0
   3.67053     24.05179    0.00000    0.00000          0
   3.68053     23.98647    0.00000    0.00000          0
   3.69053     23.92151    0.00000    0.00000          0
   3.70053     23.85690    0.00000    0.00000          0
   3.71052     23.79263    0.00000    0.00000          0
   3.72052     23.72871    0.00000    0.00000          0
   3.73052     23.66514    0.00000    0.00000          0
   3.74052     23.60190    0.00000    0.00000          0
   3.75052     23.53900    0.00000    0.00000          0
   3.76052     23.47644    0.00000    0.00000          0
   3.77052     23.41420    0.00000    0.00000          0
   3.78051     23.35230    0.00000    0.00000          0
   3.79051     23.29072    0.00000    0.00000          0
   3.80051     23.22947    0.00000    0.00000          0
   3.81051     23.16854    0.00000    0.00000          0
   3.82051     23.10793    0.00000    0.00000          0
   3.83051     23.04763    0.00000    0.00000          0
   3.84051     22.98765    0.00000    0.00000          0
   3.85051     22.92798    0.00000    0.00000          0
   3.86050     22.86862    0.00000    0.00000          0
   3.87050     22.80956    0.00000    0.00000          0
   3.88050     22.75081    0.00000    0.00000          0
   3.89050     22.69236    0.00000    0.00000          0
   3.90050     22.63422    0.00000    0.00000          0
   3.91050     22.57636    0.00000    0.00000          0
   3.92050     22.51881    0.00000    0.00000          0
   3.93050     22.46155    0.00000    0.00000          0
   3.94049     22.40457    0.00000    0.00000          0
   3.95049     22.34789    0.00000    0.00000          0
   3.96049     22.29149    0.00000    0.00000          0
   3.97049     22.23538    0.00000    0.00000          0
   3.98049     22.17955    0.00000    0.00000          0
   3.99049     22.12400    0.00000    0.00000          0
   4.00049     22.06872    0.00000    0.00000          0
   4.01049     22.01372    0.00000    0.00000          0
   4.02048     21.95900    0.00000    0.00000          0
   4.03048     21.90455    0.00000    0.00000          0
   4.04048     21.85036    0.00000    0.00000          0
   4.05048     21.79645    0.00000    0.00000          0
   4.06048     21.74280    0.00000    0.00000          0
   4.07048     21.68941    0.00000    0.00000          0
   4.08048     21.63629    0.00000    0.00000          0
   4.09048     21.58342    0.00000    0.00000          0
   4.10047     21.53081    0.00000    0.00000          0
   4.11047     21.47846    0.00000    0.00000          0
   4.12047     21.42637    0.00000    0.00000          0
   4.13047     21.37452    0.00000    0.00000          0
   4.14047     21.32293    0.00000    0.00000          0
   4.15047     21.27158    0.00000    0.00000          0
   4.16047     21.22048    0.00000    0.00000          0
