[PeltierCCS 1]
	Time [s]	Tcold	Thot	Aout	CoolTime	Tset	Power
Wed Apr 26 07:26:31 2017	 -39.99	  18.48	  43.76	        0	 -40.00	        0
Wed Apr 26 07:26:42 2017	 -39.99	  18.48	  43.80	        0	 -40.00	        0
Wed Apr 26 07:26:52 2017	 -40.00	  18.51	  43.70	        0	 -40.00	        0
Wed Apr 26 07:27:03 2017	 -39.98	  18.51	  43.88	        0	 -40.00	        0
Wed Apr 26 07:27:13 2017	 -40.00	  18.54	  43.65	        0	 -40.00	        0
Wed Apr 26 07:27:24 2017	 -39.99	  18.57	  43.77	        0	 -40.00	        0
Wed Apr 26 07:27:35 2017	 -39.99	  18.57	  43.80	        0	 -40.00	        0
Wed Apr 26 07:27:45 2017	 -39.99	  18.60	  43.77	        0	 -40.00	        0
Wed Apr 26 07:27:56 2017	 -39.98	  18.60	  43.98	        0	 -40.00	        0
Wed Apr 26 07:28:07 2017	 -39.98	  18.62	  43.99	        0	 -40.00	        0
Wed Apr 26 07:28:17 2017	 -39.98	  18.65	  44.02	        0	 -40.00	        0
Wed Apr 26 07:28:28 2017	 -39.98	  18.65	  44.08	        0	 -40.00	        0
Wed Apr 26 07:28:39 2017	 -39.98	  18.68	  44.07	        0	 -40.00	        0
Wed Apr 26 07:28:49 2017	 -39.98	  18.71	  44.13	        0	 -40.00	        0
Wed Apr 26 07:29:00 2017	 -39.98	  18.71	  44.14	        0	 -40.00	        0
Wed Apr 26 07:29:10 2017	 -39.98	  18.74	  44.21	        0	 -40.00	        0
Wed Apr 26 07:29:21 2017	 -39.99	  18.77	  44.12	        0	 -40.00	        0
Wed Apr 26 07:29:32 2017	 -40.00	  18.77	  44.06	        0	 -40.00	        0
Wed Apr 26 07:29:42 2017	 -39.99	  18.80	  44.16	        0	 -40.00	        0
Wed Apr 26 07:29:53 2017	 -39.99	  18.80	  44.17	        0	 -40.00	        0
Wed Apr 26 07:30:04 2017	 -40.00	  18.80	  44.11	        0	 -40.00	        0
Wed Apr 26 07:30:14 2017	 -39.99	  18.83	  44.15	        0	 -40.00	        0
Wed Apr 26 07:30:25 2017	 -39.98	  18.85	  44.32	        0	 -40.00	        0
Wed Apr 26 07:30:36 2017	 -39.98	  18.88	  44.38	        0	 -40.00	        0
