[PeltierCCS 1]
	Time [s]	Tcold	Thot	Aout	CoolTime	Tset	Power
Tue May 09 09:00:47 2017	 -40.00	  17.39	  41.74	        0	 -40.00	        0
Tue May 09 09:00:57 2017	 -39.99	  17.39	  41.83	        0	 -40.00	        0
Tue May 09 09:01:08 2017	 -39.98	  17.44	  41.92	        0	 -40.00	        0
Tue May 09 09:01:19 2017	 -39.98	  17.44	  41.93	        0	 -40.00	        0
Tue May 09 09:01:29 2017	 -39.98	  17.47	  42.02	        0	 -40.00	        0
Tue May 09 09:01:40 2017	 -39.99	  17.47	  41.89	        0	 -40.00	        0
Tue May 09 09:01:51 2017	 -39.99	  17.50	  41.90	        0	 -40.00	        0
Tue May 09 09:02:01 2017	 -39.98	  17.50	  42.08	        0	 -40.00	        0
Tue May 09 09:02:12 2017	 -39.99	  17.53	  41.99	        0	 -40.00	        0
Tue May 09 09:02:23 2017	 -39.98	  17.56	  42.15	        0	 -40.00	        0
Tue May 09 09:02:33 2017	 -39.98	  17.56	  42.11	        0	 -40.00	        0
Tue May 09 09:02:44 2017	 -39.98	  17.59	  42.19	        0	 -40.00	        0
Tue May 09 09:02:54 2017	 -39.98	  17.62	  42.17	        0	 -40.00	        0
Tue May 09 09:03:05 2017	 -39.98	  17.62	  42.21	        0	 -40.00	        0
Tue May 09 09:03:16 2017	 -39.99	  17.62	  42.13	        0	 -40.00	        0
Tue May 09 09:03:26 2017	 -40.00	  17.65	  42.04	        0	 -40.00	        0
Tue May 09 09:03:37 2017	 -39.99	  17.67	  42.12	        0	 -40.00	        0
Tue May 09 09:03:48 2017	 -40.00	  17.70	  42.05	        0	 -40.00	        0
Tue May 09 09:03:58 2017	 -39.99	  17.67	  42.13	        0	 -40.00	        0
Tue May 09 09:04:09 2017	 -39.98	  17.73	  42.32	        0	 -40.00	        0
Tue May 09 09:04:20 2017	 -39.98	  17.73	  42.34	        0	 -40.00	        0
Tue May 09 09:04:30 2017	 -39.98	  17.76	  42.36	        0	 -40.00	        0
Tue May 09 09:04:41 2017	 -39.99	  17.76	  42.29	        0	 -40.00	        0
Tue May 09 09:04:52 2017	 -40.00	  17.79	  42.22	        0	 -40.00	        0
Tue May 09 09:05:02 2017	 -39.99	  17.79	  42.27	        0	 -40.00	        0
Tue May 09 09:05:13 2017	 -39.99	  17.82	  42.29	        0	 -40.00	        0
Tue May 09 09:05:23 2017	 -39.98	  17.85	  42.40	        0	 -40.00	        0
Tue May 09 09:05:34 2017	 -39.99	  17.88	  42.42	        0	 -40.00	        0
Tue May 09 09:05:45 2017	 -39.98	  17.88	  42.48	        0	 -40.00	        0
Tue May 09 09:05:55 2017	 -39.99	  17.88	  42.46	        0	 -40.00	        0
Tue May 09 09:06:06 2017	 -39.99	  17.93	  42.51	        0	 -40.00	        0
Tue May 09 09:06:17 2017	 -39.99	  17.93	  42.51	        0	 -40.00	        0
Tue May 09 09:06:28 2017	 -39.98	  17.93	  42.63	        0	 -40.00	        0
Tue May 09 09:06:38 2017	 -39.98	  17.96	  42.63	        0	 -40.00	        0
Tue May 09 09:06:49 2017	 -39.98	  17.99	  42.70	        0	 -40.00	        0
Tue May 09 09:06:59 2017	 -39.98	  17.99	  42.75	        0	 -40.00	        0
Tue May 09 09:07:10 2017	 -39.98	  18.02	  42.77	        0	 -40.00	        0
Tue May 09 09:07:21 2017	 -39.99	  18.05	  42.67	        0	 -40.00	        0
Tue May 09 09:07:31 2017	 -40.01	  18.05	  42.54	        0	 -40.00	        0
Tue May 09 09:07:42 2017	 -40.00	  18.05	  42.56	        0	 -40.00	        0
Tue May 09 09:07:53 2017	 -39.98	  18.08	  42.81	        0	 -40.00	        0
Tue May 09 09:08:03 2017	 -39.99	  18.11	  42.76	        0	 -40.00	        0
Tue May 09 09:08:14 2017	 -39.99	  18.13	  42.79	        0	 -40.00	        0
Tue May 09 09:08:25 2017	 -40.00	  18.13	  42.67	        0	 -40.00	        0
Tue May 09 09:08:35 2017	 -40.00	  18.16	  42.66	        0	 -40.00	        0
Tue May 09 09:08:46 2017	 -39.99	  18.16	  42.76	        0	 -40.00	        0
Tue May 09 09:08:57 2017	 -39.99	  18.19	  42.80	        0	 -40.00	        0
Tue May 09 09:09:07 2017	 -39.98	  18.19	  42.96	        0	 -40.00	        0
Tue May 09 09:09:18 2017	 -39.98	  18.22	  43.00	        0	 -40.00	        0
Tue May 09 09:09:29 2017	 -39.98	  18.25	  43.04	        0	 -40.00	        0
Tue May 09 09:09:39 2017	 -39.98	  18.25	  43.08	        0	 -40.00	        0
Tue May 09 09:09:50 2017	 -39.98	  18.28	  43.10	        0	 -40.00	        0
Tue May 09 09:10:01 2017	 -40.00	  18.28	  42.96	        0	 -40.00	        0
Tue May 09 09:10:11 2017	 -39.99	  18.31	  42.98	        0	 -40.00	        0
Tue May 09 09:10:22 2017	 -39.99	  18.34	  43.02	        0	 -40.00	        0
Tue May 09 09:10:32 2017	 -39.99	  18.34	  43.10	        0	 -40.00	        0
Tue May 09 09:10:43 2017	 -39.99	  18.34	  43.11	        0	 -40.00	        0
Tue May 09 09:10:54 2017	 -39.98	  18.36	  43.22	        0	 -40.00	        0
Tue May 09 09:11:04 2017	 -39.98	  18.39	  43.21	        0	 -40.00	        0
Tue May 09 09:11:15 2017	 -39.99	  18.39	  43.19	        0	 -40.00	        0
Tue May 09 09:11:26 2017	 -40.00	  18.42	  43.12	        0	 -40.00	        0
Tue May 09 09:11:36 2017	 -40.01	  18.45	  43.03	        0	 -40.00	        0
Tue May 09 09:11:47 2017	 -39.99	  18.45	  43.15	        0	 -40.00	        0
Tue May 09 09:11:58 2017	 -39.99	  18.48	  43.19	        0	 -40.00	        0
Tue May 09 09:12:08 2017	 -39.98	  18.48	  43.27	        0	 -40.00	        0
Tue May 09 09:12:19 2017	 -39.98	  18.51	  43.34	        0	 -40.00	        0
Tue May 09 09:12:30 2017	 -39.98	  18.51	  43.39	        0	 -40.00	        0
Tue May 09 09:12:40 2017	 -40.00	  18.54	  43.23	        0	 -40.00	        0
Tue May 09 09:12:51 2017	 -39.98	  18.54	  43.41	        0	 -40.00	        0
Tue May 09 09:13:01 2017	 -39.98	  18.57	  43.41	        0	 -40.00	        0
Tue May 09 09:13:12 2017	 -39.98	  18.60	  43.43	        0	 -40.00	        0
Tue May 09 09:13:23 2017	 -39.98	  18.60	  43.49	        0	 -40.00	        0
