[PeltierCCS 1]
	Time [s]	Tcold	Thot	Aout	CoolTime	Tset	Power
Tue May 09 12:36:02 2017	 -39.99	  19.14	  44.32	        0	 -40.00	        0
Tue May 09 12:36:12 2017	 -39.99	  19.14	  44.33	        0	 -40.00	        0
Tue May 09 12:36:23 2017	 -39.99	  19.17	  44.34	        0	 -40.00	        0
Tue May 09 12:36:33 2017	 -39.99	  19.20	  44.36	        0	 -40.00	        0
Tue May 09 12:36:44 2017	 -39.99	  19.20	  44.34	        0	 -40.00	        0
Tue May 09 12:36:55 2017	 -39.99	  19.20	  44.44	        0	 -40.00	        0
Tue May 09 12:37:05 2017	 -39.98	  19.23	  44.53	        0	 -40.00	        0
Tue May 09 12:37:16 2017	 -39.98	  19.23	  44.59	        0	 -40.00	        0
Tue May 09 12:37:27 2017	 -39.99	  19.26	  44.52	        0	 -40.00	        0
Tue May 09 12:37:37 2017	 -39.98	  19.29	  44.61	        0	 -40.00	        0
Tue May 09 12:37:48 2017	 -39.99	  19.29	  44.60	        0	 -40.00	        0
Tue May 09 12:37:59 2017	 -39.98	  19.31	  44.65	        0	 -40.00	        0
Tue May 09 12:38:09 2017	 -39.98	  19.31	  44.70	        0	 -40.00	        0
Tue May 09 12:38:20 2017	 -39.99	  19.34	  44.68	        0	 -40.00	        0
Tue May 09 12:38:31 2017	 -39.99	  19.37	  44.61	        0	 -40.00	        0
Tue May 09 12:38:41 2017	 -40.00	  19.37	  44.59	        0	 -40.00	        0
Tue May 09 12:38:52 2017	 -40.00	  19.37	  44.57	        0	 -40.00	        0
Tue May 09 12:39:03 2017	 -40.00	  19.40	  44.58	        0	 -40.00	        0
Tue May 09 12:39:13 2017	 -40.00	  19.43	  44.58	        0	 -40.00	        0
Tue May 09 12:39:24 2017	 -40.00	  19.43	  44.58	        0	 -40.00	        0
Tue May 09 12:39:34 2017	 -39.98	  19.46	  44.76	        0	 -40.00	        0
Tue May 09 12:39:45 2017	 -39.98	  19.46	  44.86	        0	 -40.00	        0
Tue May 09 12:39:56 2017	 -39.98	  19.49	  44.87	        0	 -40.00	        0
Tue May 09 12:40:06 2017	 -39.98	  19.49	  44.94	        0	 -40.00	        0
Tue May 09 12:40:17 2017	 -39.98	  19.52	  44.92	        0	 -40.00	        0
Tue May 09 12:40:28 2017	 -39.98	  19.52	  44.94	        0	 -40.00	        0
Tue May 09 12:40:38 2017	 -39.99	  19.55	  44.93	        0	 -40.00	        0
Tue May 09 12:40:49 2017	 -39.99	  19.57	  44.90	        0	 -40.00	        0
Tue May 09 12:41:00 2017	 -39.98	  19.57	  45.01	        0	 -40.00	        0
Tue May 09 12:41:10 2017	 -39.99	  19.57	  44.96	        0	 -40.00	        0
Tue May 09 12:41:21 2017	 -39.98	  19.60	  45.04	        0	 -40.00	        0
Tue May 09 12:41:31 2017	 -39.98	  19.63	  45.12	        0	 -40.00	        0
Tue May 09 12:41:42 2017	 -39.98	  19.63	  45.15	        0	 -40.00	        0
Tue May 09 12:41:53 2017	 -40.00	  19.66	  44.97	        0	 -40.00	        0
Tue May 09 12:42:03 2017	 -39.99	  19.66	  45.04	        0	 -40.00	        0
Tue May 09 12:42:14 2017	 -40.00	  19.69	  45.03	        0	 -40.00	        0
Tue May 09 12:42:25 2017	 -40.00	  19.69	  44.93	        0	 -40.00	        0
Tue May 09 12:42:35 2017	 -39.99	  19.72	  45.09	        0	 -40.00	        0
Tue May 09 12:42:46 2017	 -39.98	  19.72	  45.17	        0	 -40.00	        0
Tue May 09 12:42:57 2017	 -39.98	  19.75	  45.21	        0	 -40.00	        0
Tue May 09 12:43:07 2017	 -39.99	  19.78	  45.21	        0	 -40.00	        0
Tue May 09 12:43:18 2017	 -39.99	  19.78	  45.24	        0	 -40.00	        0
Tue May 09 12:43:29 2017	 -40.00	  19.80	  45.07	        0	 -40.00	        0
Tue May 09 12:43:39 2017	 -39.99	  19.83	  45.16	        0	 -40.00	        0
Tue May 09 12:43:50 2017	 -39.98	  19.80	  45.29	        0	 -40.00	        0
Tue May 09 12:44:00 2017	 -39.98	  19.78	  45.36	        0	 -40.00	        0
Tue May 09 12:44:11 2017	 -39.98	  19.72	  45.37	        0	 -40.00	        0
Tue May 09 12:44:22 2017	 -40.00	  19.66	  45.22	        0	 -40.00	        0
Tue May 09 12:44:32 2017	 -40.00	  19.60	  45.18	        0	 -40.00	        0
Tue May 09 12:44:43 2017	 -40.00	  19.55	  45.17	        0	 -40.00	        0
Tue May 09 12:44:54 2017	 -40.01	  19.46	  45.14	        0	 -40.00	        0
Tue May 09 12:45:04 2017	 -40.01	  19.40	  45.12	        0	 -40.00	        0
Tue May 09 12:45:15 2017	 -40.01	  19.34	  45.03	        0	 -40.00	        0
Tue May 09 12:45:26 2017	 -40.02	  19.29	  44.96	        0	 -40.00	        0
Tue May 09 12:45:36 2017	 -40.03	  19.23	  44.85	        0	 -40.00	        0
Tue May 09 12:45:47 2017	 -40.03	  19.14	  44.73	        0	 -40.00	        0
Tue May 09 12:45:57 2017	 -40.03	  19.08	  44.65	        0	 -40.00	        0
Tue May 09 12:46:08 2017	 -40.03	  19.03	  44.59	        0	 -40.00	        0
Tue May 09 12:46:19 2017	 -40.04	  18.97	  44.45	        0	 -40.00	        0
Tue May 09 12:46:29 2017	 -40.05	  18.88	  44.27	        0	 -40.00	        0
Tue May 09 12:46:40 2017	 -40.05	  18.83	  44.16	        0	 -40.00	        0
Tue May 09 12:46:51 2017	 -40.05	  18.77	  44.15	        0	 -40.00	        0
Tue May 09 12:47:01 2017	 -40.06	  18.68	  43.90	        0	 -40.00	        0
Tue May 09 12:47:12 2017	 -40.06	  18.62	  43.81	        0	 -40.00	        0
Tue May 09 12:47:23 2017	 -40.05	  18.54	  43.77	        0	 -40.00	        0
Tue May 09 12:47:33 2017	 -40.04	  18.48	  43.78	        0	 -40.00	        0
Tue May 09 12:47:44 2017	 -40.04	  18.42	  43.69	        0	 -40.00	        0
Tue May 09 12:47:55 2017	 -40.04	  18.34	  43.68	        0	 -40.00	        0
Tue May 09 12:48:05 2017	 -40.05	  18.28	  43.47	        0	 -40.00	        0
Tue May 09 12:48:16 2017	 -40.06	  18.22	  43.30	        0	 -40.00	        0
Tue May 09 12:48:27 2017	 -40.06	  18.13	  43.17	        0	 -40.00	        0
Tue May 09 12:48:37 2017	 -40.05	  18.08	  43.20	        0	 -40.00	        0
Tue May 09 12:48:48 2017	 -40.05	  18.02	  43.08	        0	 -40.00	        0
Tue May 09 12:48:58 2017	 -40.05	  17.96	  43.03	        0	 -40.00	        0
Tue May 09 12:49:09 2017	 -40.04	  17.90	  43.00	        0	 -40.00	        0
Tue May 09 12:49:20 2017	 -40.04	  17.85	  42.92	        0	 -40.00	        0
Tue May 09 12:49:30 2017	 -40.05	  17.79	  42.83	        0	 -40.00	        0
Tue May 09 12:49:41 2017	 -40.06	  17.70	  42.63	        0	 -40.00	        0
Tue May 09 12:49:52 2017	 -40.06	  17.65	  42.54	        0	 -40.00	        0
Tue May 09 12:50:02 2017	 -40.06	  17.59	  42.39	        0	 -40.00	        0
Tue May 09 12:50:13 2017	 -40.06	  17.50	  42.29	        0	 -40.00	        0
Tue May 09 12:50:24 2017	 -40.05	  17.44	  42.25	        0	 -40.00	        0
Tue May 09 12:50:34 2017	 -40.04	  17.39	  42.29	        0	 -40.00	        0
Tue May 09 12:50:45 2017	 -40.04	  17.30	  42.21	        0	 -40.00	        0
Tue May 09 12:50:55 2017	 -40.04	  17.24	  42.11	        0	 -40.00	        0
Tue May 09 12:51:06 2017	 -40.04	  17.18	  42.11	        0	 -40.00	        0
Tue May 09 12:51:17 2017	 -40.04	  17.13	  41.99	        0	 -40.00	        0
Tue May 09 12:51:27 2017	 -40.04	  17.07	  41.90	        0	 -40.00	        0
Tue May 09 12:51:38 2017	 -40.06	  17.04	  41.66	        0	 -40.00	        0
Tue May 09 12:51:49 2017	 -40.05	  17.01	  41.60	        0	 -40.00	        0
Tue May 09 12:51:59 2017	 -40.05	  17.04	  41.56	        0	 -40.00	        0
Tue May 09 12:52:10 2017	 -40.04	  17.07	  41.59	        0	 -40.00	        0
Tue May 09 12:52:21 2017	 -40.03	  17.10	  41.56	        0	 -40.00	        0
Tue May 09 12:52:31 2017	 -40.03	  17.10	  41.55	        0	 -40.00	        0
Tue May 09 12:52:42 2017	 -40.03	  17.13	  41.52	        0	 -40.00	        0
Tue May 09 12:52:53 2017	 -40.03	  17.16	  41.44	        0	 -40.00	        0
Tue May 09 12:53:03 2017	 -40.02	  17.18	  41.49	        0	 -40.00	        0
Tue May 09 12:53:14 2017	 -40.01	  17.21	  41.57	        0	 -40.00	        0
Tue May 09 12:53:24 2017	 -40.01	  17.21	  41.60	        0	 -40.00	        0
Tue May 09 12:53:35 2017	 -39.99	  17.27	  41.77	        0	 -40.00	        0
Tue May 09 12:53:46 2017	 -39.99	  17.27	  41.83	        0	 -40.00	        0
Tue May 09 12:53:56 2017	 -39.98	  17.27	  41.96	        0	 -40.00	        0
Tue May 09 12:54:07 2017	 -39.98	  17.30	  41.98	        0	 -40.00	        0
Tue May 09 12:54:18 2017	 -39.98	  17.33	  42.00	        0	 -40.00	        0
Tue May 09 12:54:28 2017	 -39.98	  17.33	  42.05	        0	 -40.00	        0
Tue May 09 12:54:39 2017	 -39.98	  17.36	  42.11	        0	 -40.00	        0
Tue May 09 12:54:50 2017	 -39.98	  17.36	  42.15	        0	 -40.00	        0
Tue May 09 12:55:00 2017	 -39.99	  17.39	  42.08	        0	 -40.00	        0
Tue May 09 12:55:11 2017	 -39.99	  17.42	  42.06	        0	 -40.00	        0
Tue May 09 12:55:22 2017	 -39.99	  17.42	  42.12	        0	 -40.00	        0
