[CryoJet 1]
	Time [s]	Temp T[k]	TSet	Shield flow	Sample flow	Heater pow[R5]	Heater pow[R6]	Run	Frame
Tue May 09 08:41:15 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 3	 5
Tue May 09 08:41:26 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 3	 5
Tue May 09 08:41:36 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 3	 5
Tue May 09 08:41:47 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 3	 5
Tue May 09 08:41:58 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 3	 5
Tue May 09 08:42:08 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 3	 5
Tue May 09 08:42:19 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 3	 5
Tue May 09 08:42:30 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 3	 5
Tue May 09 08:42:40 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 3	 5
Tue May 09 08:42:51 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 3	 5
Tue May 09 08:43:01 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 3	 5
Tue May 09 08:43:12 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 3	 5
Tue May 09 08:43:23 2017	 173.00	 173.00	   3.00	   3.00	  22.20	  10.60	 3	 5
Tue May 09 08:43:33 2017	 173.00	 173.00	   3.00	   3.00	  22.20	  10.60	 3	 5
Tue May 09 08:43:44 2017	 173.00	 173.00	   3.00	   3.00	  22.20	  10.70	 3	 5
Tue May 09 08:43:55 2017	 173.00	 173.00	   3.00	   3.00	  22.20	  10.60	 3	 5
Tue May 09 08:44:05 2017	 173.00	 173.00	   3.00	   3.00	  22.20	  10.60	 4	 1
Tue May 09 08:44:16 2017	 173.00	 173.00	   3.00	   3.00	  22.20	  10.60	 4	 1
Tue May 09 08:44:26 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 4	 1
Tue May 09 08:44:37 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 4	 1
Tue May 09 08:44:48 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 4	 1
Tue May 09 08:44:58 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 4	 1
Tue May 09 08:45:09 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 4	 1
Tue May 09 08:45:20 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 4	 1
Tue May 09 08:45:30 2017	 173.00	 173.00	   3.00	   3.00	  21.10	  10.10	 4	 1
Tue May 09 08:45:41 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 4	 1
Tue May 09 08:45:51 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 4	 1
Tue May 09 08:46:02 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 4	 1
Tue May 09 08:46:13 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.20	 4	 1
Tue May 09 08:46:23 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.30	 4	 1
Tue May 09 08:46:34 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 4	 1
Tue May 09 08:46:45 2017	 173.00	 173.00	   3.00	   3.00	  20.90	  10.40	 4	 2
Tue May 09 08:46:55 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 4	 2
Tue May 09 08:47:06 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 4	 2
Tue May 09 08:47:16 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 4	 2
Tue May 09 08:47:27 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 4	 2
Tue May 09 08:47:38 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 4	 2
Tue May 09 08:47:48 2017	 173.00	 173.00	   3.00	   3.00	  21.10	  10.50	 4	 2
Tue May 09 08:47:59 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 4	 2
Tue May 09 08:48:10 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 4	 2
Tue May 09 08:48:20 2017	 173.00	 173.00	   3.00	   3.00	  21.10	  10.50	 4	 2
Tue May 09 08:48:31 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.30	 4	 2
Tue May 09 08:48:41 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 4	 2
Tue May 09 08:48:52 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.60	 4	 2
Tue May 09 08:49:03 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 4	 2
Tue May 09 08:49:13 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 4	 2
Tue May 09 08:49:24 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 4	 2
Tue May 09 08:49:35 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 4	 3
Tue May 09 08:49:45 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 4	 3
Tue May 09 08:49:56 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.20	 4	 3
Tue May 09 08:50:06 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 4	 3
Tue May 09 08:50:17 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 4	 3
Tue May 09 08:50:28 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 4	 3
Tue May 09 08:50:38 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.20	 4	 3
Tue May 09 08:50:49 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 4	 3
Tue May 09 08:51:00 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.20	 4	 3
Tue May 09 08:51:10 2017	 173.00	 173.00	   3.00	   3.00	  22.20	  10.70	 4	 3
Tue May 09 08:51:21 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 4	 3
Tue May 09 08:51:31 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 4	 3
Tue May 09 08:51:42 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 4	 3
Tue May 09 08:51:53 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.20	 4	 3
Tue May 09 08:52:03 2017	 173.00	 173.00	   3.00	   3.00	  21.10	  10.50	 4	 3
Tue May 09 08:52:14 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 4	 4
Tue May 09 08:52:25 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 4	 4
Tue May 09 08:52:35 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 4	 4
Tue May 09 08:52:46 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.70	 4	 4
Tue May 09 08:52:56 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 4	 4
Tue May 09 08:53:07 2017	 173.00	 173.00	   3.00	   3.00	  21.30	  10.70	 4	 4
Tue May 09 08:53:18 2017	 173.00	 173.00	   3.00	   3.00	  21.30	  10.20	 4	 4
Tue May 09 08:53:28 2017	 173.00	 173.00	   3.00	   3.00	  21.20	   9.90	 4	 4
Tue May 09 08:53:39 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 4	 4
Tue May 09 08:53:50 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 4	 4
Tue May 09 08:54:00 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 4	 4
Tue May 09 08:54:11 2017	 173.00	 173.00	   3.00	   3.00	  22.70	  10.90	 4	 4
